Trader_ID,Trader,Int1,LOS1,Collection Point_ID,Collection Point,Int2,LOS2,Cargo Hub_ID,Cargo Hub,Int3,LOS3,Regional Hub_ID,Regional Hub,Int4,LOS4,WareHouse_ID,WareHouse,Int5,LOS5,Distribution Center_ID,Distribution Center,Store_ID,Store
Vendor2,3608,410,3,c1,2616,371,2,1,2373,669,3,1,4049,471,3,1,2863,304,2,3,1685,1,1567
Vendor2,2610,327,2,c5,2126,148,1,1,940,343,2,1,1818,328,2,1,1631,93,1,2,513,7,4621
Vendor2,3737,832,4,c2,4903,617,3,3,3752,351,2,2,2165,225,2,4,1315,683,4,4,4302,1,4131
Vendor4,2049,410,2,c2,2185,502,3,1,2985,292,2,3,1920,401,3,4,2671,349,2,2,1828,4,1872
Vendor2,2968,654,3,c2,3867,55,1,4,253,383,2,1,2384,135,1,4,552,170,1,4,1178,3,723
Vendor2,3309,599,3,c2,3757,129,1,1,1012,371,2,1,2082,646,4,1,4211,50,1,4,584,3,4189
Vendor2,3070,754,4,c2,4629,98,1,2,300,189,1,2,879,165,1,1,932,433,2,3,2400,8,3753
Vendor2,4322,99,1,c1,715,404,2,2,2129,408,2,3,2069,331,2,2,1814,148,1,2,1091,7,5143
Vendor3,2920,799,4,c4,4861,289,2,4,1620,146,1,3,661,457,3,2,3105,76,1,2,343,6,4702
Vendor1,3233,459,3,c1,2624,592,3,2,3369,72,1,1,613,561,3,1,3180,392,2,3,2274,4,3128
Vendor3,2631,88,1,c4,461,684,3,1,3744,404,2,3,2446,824,4,1,4711,392,2,4,2117,2,2947
Vendor2,4571,884,4,c2,5169,93,1,3,581,272,2,2,1638,478,3,1,2963,384,2,2,2288,6,581
Vendor2,4634,133,1,c1,1048,89,1,4,419,50,1,1,345,825,4,3,4913,783,4,2,4962,3,468
Vendor3,1385,621,3,c5,3964,153,1,3,901,738,4,2,4318,499,3,1,3184,50,1,2,504,4,2476
Vendor2,1992,644,3,c2,3606,671,4,3,4245,527,3,3,3167,805,4,4,5052,96,1,3,718,4,1056
Vendor4,4659,827,4,c3,4817,50,1,1,383,576,3,4,3869,60,1,4,551,719,4,3,4289,5,4810
Vendor2,3966,399,2,c2,2397,322,2,3,2187,141,1,1,1027,689,3,3,3876,213,2,3,1582,4,4499
Vendor4,4549,678,3,c1,4074,50,1,3,391,686,3,2,4120,98,1,4,402,166,1,3,1124,4,462
Vendor1,3507,51,1,c1,239,438,3,3,2628,476,2,2,2554,525,3,1,3364,413,2,1,2283,4,3622
Vendor1,2146,637,3,c1,4127,751,4,4,4272,367,2,2,1907,55,1,4,639,233,1,1,1128,5,2039
Vendor3,2597,340,2,c2,2270,704,3,4,3969,219,2,1,1547,686,3,2,4121,422,2,2,2315,5,3484
Vendor3,2851,615,3,c4,3398,326,2,4,1762,233,2,4,1758,50,1,4,268,515,3,4,2930,1,3942
Vendor2,4064,137,1,c3,890,375,2,4,2430,851,4,4,4863,476,3,2,2907,255,2,2,1595,4,1097
Vendor2,1580,311,2,c5,1705,234,2,4,1206,145,1,1,1014,423,2,3,2306,379,2,2,2260,1,1503
Vendor4,3366,519,3,c1,3283,698,4,3,4493,515,3,3,3296,425,3,1,2827,156,1,1,851,7,3868
Vendor4,2158,673,3,c2,4166,50,1,2,529,246,2,3,1547,323,2,2,2120,523,3,2,2891,4,1644
Vendor1,3833,771,4,c2,4605,270,2,2,1907,592,3,4,3432,114,1,4,849,82,1,2,663,6,1212
Vendor1,3182,95,1,c1,349,254,2,2,1764,253,2,4,1497,835,4,2,4740,187,2,1,1286,1,2490
Vendor3,1832,478,3,c2,2823,751,4,3,4688,164,1,4,958,606,3,1,3289,466,3,2,3087,3,1740
Vendor2,1144,656,3,c4,3769,672,4,3,4213,576,3,3,3129,368,2,3,2525,364,2,1,2347,2,2341
Vendor1,3619,165,1,c3,1173,116,1,1,900,394,2,1,1977,173,2,3,1212,754,4,1,4590,5,1908
Vendor4,1867,608,3,c1,3596,739,4,4,4361,264,2,3,1524,915,4,2,5187,334,2,2,1833,2,3736
Vendor1,2954,489,3,c2,2904,50,1,2,390,174,2,4,1217,69,1,1,394,834,4,4,5151,5,2015
Vendor2,2574,702,4,c1,4380,693,4,2,4321,692,3,4,3785,791,4,3,5028,430,3,4,2836,8,2205
Vendor3,1344,493,3,c4,2866,196,1,4,904,364,2,1,1931,736,4,4,4535,810,4,4,4680,4,1691
Vendor1,3690,325,2,c5,2219,139,1,1,1060,795,4,1,4463,281,2,3,1655,412,2,3,2220,6,220
Vendor1,2481,541,3,c2,2993,94,1,3,231,681,4,3,4389,410,2,3,2161,264,2,3,1531,4,4079
Vendor4,1703,571,3,c4,3584,555,3,2,3216,664,3,2,3647,184,1,2,782,340,2,2,2229,2,516
Vendor4,4609,678,4,c4,4313,401,2,2,2075,138,1,4,572,479,3,4,2892,759,4,2,4451,1,4076
Vendor2,2333,291,2,c4,1544,386,2,2,2042,594,3,2,3567,106,1,1,388,373,2,3,2376,2,1172
Vendor2,1435,781,4,c3,4869,847,4,1,5007,390,2,3,2385,658,3,4,3617,758,4,3,4334,5,5014
Vendor4,3747,140,1,c2,549,697,3,2,4026,396,2,1,2347,802,4,3,5161,780,4,2,4940,3,2280
Vendor4,4639,246,2,c3,1662,555,3,1,3681,566,3,2,3164,210,1,2,1045,698,3,1,4047,1,1458
Vendor1,3802,751,4,c2,4210,805,4,4,5186,561,3,4,3278,436,2,2,2467,450,3,4,2977,2,2651
Vendor4,4400,149,1,c5,817,423,2,2,2391,746,4,3,4521,877,4,3,5035,113,1,3,609,6,3109
Vendor2,4667,585,3,c3,3734,646,3,1,3539,372,2,1,2389,222,1,1,1091,317,2,1,1852,8,3402
Vendor1,3065,802,4,c2,4864,342,2,2,2338,808,4,3,4777,197,2,3,1327,204,2,2,1201,5,2906
Vendor3,4252,592,3,c1,3370,398,2,2,2156,159,1,2,955,396,2,2,2029,608,3,2,3793,4,1679
Vendor4,3189,822,4,c5,4982,731,4,4,4714,804,4,3,4595,146,1,4,965,392,2,4,2493,2,2014
Vendor2,2973,605,3,c2,3431,669,3,1,3931,891,4,1,5142,485,3,1,2674,211,2,3,1244,6,3320
